YearMonth,Country,TAVG,TMAX,TMIN,PRCP
2000-09,Colombia,54.833333333333336,66.0,45.21052631578947,0.115
2000-10,Colombia,55.41935483870968,64.77272727272727,47.36363636363637,0.1290909090909091
2000-11,Colombia,55.3448275862069,66.06666666666666,46.89473684210526,0.116
2000-12,Colombia,54.61290322580645,67.0,41.76470588235294,0.06521739130434782
2001-01,Colombia,53.45161290322581,69.07142857142857,38.48,0.1309090909090909
2001-02,Colombia,55.392857142857146,67.17647058823529,46.833333333333336,0.035625000000000004
2001-03,Colombia,56.41935483870968,67.3125,49.0,0.19705882352941176
2001-04,Colombia,56.6,67.4375,47.95,0.037
2001-05,Colombia,56.354838709677416,67.13333333333334,48.43478260869565,0.12615384615384617
2001-06,Colombia,55.9,65.78571428571429,47.0,0.04421052631578947
2001-07,Colombia,55.193548387096776,66.0625,47.35,0.05931034482758621
2001-08,Colombia,55.935483870967744,64.84615384615384,49.2,0.028846153846153848
2001-09,Colombia,55.13333333333333,67.4375,45.388888888888886,0.10210526315789474
2001-10,Colombia,56.32258064516129,67.55555555555556,46.22727272727273,0.026000000000000002
2001-11,Colombia,56.233333333333334,68.52631578947368,45.68181818181818,0.08481481481481482
2001-12,Colombia,57.096774193548384,68.9375,48.578947368421055,0.09
2002-01,Colombia,55.41935483870968,68.89473684210526,43.82608695652174,0.065625
2002-02,Colombia,57.214285714285715,70.6470588235294,46.54545454545455,0.04066666666666666
2002-03,Colombia,56.774193548387096,68.9,47.59090909090909,0.18541666666666667
2002-04,Colombia,57.266666666666666,67.7,50.2,0.1769565217391304
2002-05,Colombia,58.03225806451613,68.07142857142857,49.95,0.16045454545454546
2002-06,Colombia,57.03333333333333,66.42105263157895,49.72727272727273,0.09724137931034482
2002-07,Colombia,56.806451612903224,66.25,48.23076923076923,0.0780952380952381
2002-08,Colombia,56.41935483870968,65.29411764705883,47.24,0.038181818181818185
2002-09,Colombia,56.1,67.6,45.56521739130435,0.065
2002-10,Colombia,57.03225806451613,67.9047619047619,47.208333333333336,0.07066666666666667
2002-11,Colombia,56.43333333333333,67.15789473684211,46.92307692307692,0.054814814814814816
2002-12,Colombia,57.354838709677416,70.0,47.77272727272727,0.06857142857142857
2003-01,Colombia,56.2,71.05882352941177,41.916666666666664,0.0048
2003-02,Colombia,57.607142857142854,70.27777777777777,48.08695652173913,0.032857142857142856
2003-03,Colombia,56.70967741935484,69.9375,47.526315789473685,0.09366666666666666
2003-04,Colombia,57.36666666666667,69.5625,49.56521739130435,0.13
2003-05,Colombia,57.74193548387097,67.5625,49.11538461538461,0.0684
2003-06,Colombia,55.53333333333333,66.05882352941177,47.0,0.07
2003-07,Colombia,55.67741935483871,64.85,47.42307692307692,0.028064516129032258
2003-08,Colombia,55.67741935483871,65.76470588235294,47.07692307692308,0.08777777777777779
2003-09,Colombia,55.172413793103445,65.88235294117646,45.72,0.06259259259259259
2003-10,Colombia,56.03225806451613,66.36842105263158,47.84615384615385,0.062000000000000006
2003-11,Colombia,55.4,67.05882352941177,46.64,0.15241379310344827
2003-12,Colombia,55.61290322580645,67.2,45.21739130434783,0.07967741935483871
2004-01,Colombia,54.74193548387097,67.05,43.407407407407405,0.028064516129032258
2004-02,Colombia,55.310344827586206,69.6470588235294,42.80952380952381,0.13428571428571429
2004-03,Colombia,56.645161290322584,68.0,46.47826086956522,0.026923076923076925
2004-04,Colombia,56.03333333333333,67.55555555555556,47.111111111111114,0.14
2004-05,Colombia,56.70967741935484,,,
2004-06,Colombia,55.46666666666667,,,
2004-07,Colombia,55.193548387096776,,44.0,0.0
2004-08,Colombia,55.25806451612903,64.5,47.75,0.024545454545454547
2004-09,Colombia,54.8,66.6,45.375,0.03833333333333334
2004-10,Colombia,55.38709677419355,66.71428571428571,47.529411764705884,0.20833333333333334
2004-11,Colombia,56.03333333333333,67.5625,47.5,0.10857142857142857
2004-12,Colombia,55.516129032258064,67.3076923076923,45.1,0.048
2005-01,Colombia,55.41935483870968,68.38888888888889,44.42307692307692,0.006296296296296296
2005-02,Colombia,56.642857142857146,70.0,43.0,0.04
2005-03,Colombia,56.70967741935484,69.125,46.285714285714285,0.017333333333333333
2005-04,Colombia,57.333333333333336,67.86666666666666,48.72727272727273,0.11476190476190477
2005-05,Colombia,57.29032258064516,67.70588235294117,50.4,0.105
2005-06,Colombia,56.46666666666667,66.10526315789474,48.68421052631579,0.02153846153846154
2005-07,Colombia,56.096774193548384,66.0,47.9,0.0168
2005-08,Colombia,55.54838709677419,65.75,46.6,0.09999999999999999
2005-09,Colombia,55.266666666666666,65.61111111111111,46.7,0.1461904761904762
2005-10,Colombia,55.064516129032256,66.53333333333333,46.13333333333333,0.1395
2005-11,Colombia,55.5,66.1875,47.1578947368421,0.0775
2005-12,Colombia,54.96774193548387,67.0,45.80952380952381,0.21928571428571428
2006-01,Colombia,55.54838709677419,67.36842105263158,46.05555555555556,0.1475
2006-02,Colombia,56.392857142857146,69.0,46.5,0.0033333333333333335
2006-03,Colombia,55.45161290322581,65.45454545454545,48.13333333333333,0.34875
2006-04,Colombia,55.833333333333336,66.75,49.54545454545455,0.14083333333333334
2006-05,Colombia,55.87096774193548,65.66666666666667,49.142857142857146,0.22611111111111112
2006-06,Colombia,56.06666666666667,65.76470588235294,48.90909090909091,0.17454545454545453
2006-07,Colombia,56.16129032258065,65.375,48.1764705882353,0.005555555555555556
2006-08,Colombia,56.29032258064516,66.125,47.411764705882355,0.04181818181818182
2006-09,Colombia,56.0,67.92307692307692,45.583333333333336,0.02
2006-10,Colombia,55.83870967741935,65.83333333333333,48.45454545454545,0.1992857142857143
2006-11,Colombia,55.63333333333333,66.8,46.2,0.08636363636363636
2006-12,Colombia,55.56666666666667,67.66666666666667,46.1,0.03875
2007-01,Colombia,56.16129032258065,69.125,45.4,0.02
2007-02,Colombia,54.535714285714285,69.44444444444444,41.6,0.064
2007-03,Colombia,55.903225806451616,67.3125,46.130434782608695,0.164
2007-04,Colombia,56.53333333333333,67.125,48.666666666666664,0.15653846153846154
2007-05,Colombia,56.0,66.76470588235294,48.95238095238095,0.12045454545454545
